"shortDescription","description","founded","city","country","industries/0","industries/1","industries/2","shortDescription_tokenize"
"Packaging, renewable materials, manufacturing","Paptic is unique combination of benefits of paper, plastics and textiles. It is extending the market of packaging papers and replacing plastics through technical performance and it is the only plastic replacing material which is recyclable in paper recycling, directly suitable for plastic converting machines and providing textile-like quality experience.","2015-03-01","Espoo","Finland","manufacturing","materials_and_coatings","NULL","materials"
"Packaging, renewable materials, manufacturing","Paptic is unique combination of benefits of paper, plastics and textiles. It is extending the market of packaging papers and replacing plastics through technical performance and it is the only plastic replacing material which is recyclable in paper recycling, directly suitable for plastic converting machines and providing textile-like quality experience.","2015-03-01","Espoo","Finland","manufacturing","materials_and_coatings","NULL","manufacturing"
"Quotation Automation for small businesses.","Small Businesses that sell a complex product, such as manufacturing, or a service, spend a lot of time calculation quotes. 

That's why we have created an easy to use SaaS that allows the business owner to set up a self-service quotation portal for their customers.

We offer the low barrier of entry of something like Shopify, but the flexibility of an otherwise expensive bespoke system.","2017-12-01","Uusikaarlepyy","Finland","manufacturing","e-commerce","NULL","quotation"
"Quotation Automation for small businesses.","Small Businesses that sell a complex product, such as manufacturing, or a service, spend a lot of time calculation quotes. 

That's why we have created an easy to use SaaS that allows the business owner to set up a self-service quotation portal for their customers.

We offer the low barrier of entry of something like Shopify, but the flexibility of an otherwise expensive bespoke system.","2017-12-01","Uusikaarlepyy","Finland","manufacturing","e-commerce","NULL","automation"
"Quotation Automation for small businesses.","Small Businesses that sell a complex product, such as manufacturing, or a service, spend a lot of time calculation quotes. 

That's why we have created an easy to use SaaS that allows the business owner to set up a self-service quotation portal for their customers.

We offer the low barrier of entry of something like Shopify, but the flexibility of an otherwise expensive bespoke system.","2017-12-01","Uusikaarlepyy","Finland","manufacturing","e-commerce","NULL","for"
"Quotation Automation for small businesses.","Small Businesses that sell a complex product, such as manufacturing, or a service, spend a lot of time calculation quotes. 

That's why we have created an easy to use SaaS that allows the business owner to set up a self-service quotation portal for their customers.

We offer the low barrier of entry of something like Shopify, but the flexibility of an otherwise expensive bespoke system.","2017-12-01","Uusikaarlepyy","Finland","manufacturing","e-commerce","NULL","small"
"Quotation Automation for small businesses.","Small Businesses that sell a complex product, such as manufacturing, or a service, spend a lot of time calculation quotes. 

That's why we have created an easy to use SaaS that allows the business owner to set up a self-service quotation portal for their customers.

We offer the low barrier of entry of something like Shopify, but the flexibility of an otherwise expensive bespoke system.","2017-12-01","Uusikaarlepyy","Finland","manufacturing","e-commerce","NULL","businesses"
"We develop an AI-based technology for education","We use recent advances in AI to create a technology that makes education personalized, help teachers and learners enjoy new education, more effective and efficient.","2018-08-01","Helsinki","Finland","education","NULL","NULL","we"
"We develop an AI-based technology for education","We use recent advances in AI to create a technology that makes education personalized, help teachers and learners enjoy new education, more effective and efficient.","2018-08-01","Helsinki","Finland","education","NULL","NULL","develop"
"We develop an AI-based technology for education","We use recent advances in AI to create a technology that makes education personalized, help teachers and learners enjoy new education, more effective and efficient.","2018-08-01","Helsinki","Finland","education","NULL","NULL","an"
"We develop an AI-based technology for education","We use recent advances in AI to create a technology that makes education personalized, help teachers and learners enjoy new education, more effective and efficient.","2018-08-01","Helsinki","Finland","education","NULL","NULL","ai"
"We develop an AI-based technology for education","We use recent advances in AI to create a technology that makes education personalized, help teachers and learners enjoy new education, more effective and efficient.","2018-08-01","Helsinki","Finland","education","NULL","NULL","based"
"We develop an AI-based technology for education","We use recent advances in AI to create a technology that makes education personalized, help teachers and learners enjoy new education, more effective and efficient.","2018-08-01","Helsinki","Finland","education","NULL","NULL","technology"
"We develop an AI-based technology for education","We use recent advances in AI to create a technology that makes education personalized, help teachers and learners enjoy new education, more effective and efficient.","2018-08-01","Helsinki","Finland","education","NULL","NULL","for"
"We develop an AI-based technology for education","We use recent advances in AI to create a technology that makes education personalized, help teachers and learners enjoy new education, more effective and efficient.","2018-08-01","Helsinki","Finland","education","NULL","NULL","education"
"Aerospace and analytics","ICEYE is the first organization in the world to successfully launch synthetic-aperture radar (SAR) satellites with 20-fold weight savings and is the World’s leading company in miniaturized SAR technology. ICEYE empowers others to make better decisions in governmental and commercial industries by providing access to timely and reliable satellite imagery. The company is tackling this crucial lack of actionable information with world-first aerospace capabilities and a New Space approach. ","2014-09-01","Espoo","Finland","aerospace_and_defence","NULL","NULL","aerospace"
"Aerospace and analytics","ICEYE is the first organization in the world to successfully launch synthetic-aperture radar (SAR) satellites with 20-fold weight savings and is the World’s leading company in miniaturized SAR technology. ICEYE empowers others to make better decisions in governmental and commercial industries by providing access to timely and reliable satellite imagery. The company is tackling this crucial lack of actionable information with world-first aerospace capabilities and a New Space approach. ","2014-09-01","Espoo","Finland","aerospace_and_defence","NULL","NULL","and"
"Aerospace and analytics","ICEYE is the first organization in the world to successfully launch synthetic-aperture radar (SAR) satellites with 20-fold weight savings and is the World’s leading company in miniaturized SAR technology. ICEYE empowers others to make better decisions in governmental and commercial industries by providing access to timely and reliable satellite imagery. The company is tackling this crucial lack of actionable information with world-first aerospace capabilities and a New Space approach. ","2014-09-01","Espoo","Finland","aerospace_and_defence","NULL","NULL","analytics"
"IoT Solutions","Wizense has specialized providing leading industrial IoT solutions from sensors, gateway connectivity, analytics pipelines, serverless backends to mobile applications.

Our IoT field connectivity offering called Fieldsight can get your business connected fast from industrial wearable to edge gateway.

Contact us for more information: info@wizense.com or call +358 40 8031910
","2016-03-01","Vantaa","Finland","manufacturing","NULL","NULL","iot"
"IoT Solutions","Wizense has specialized providing leading industrial IoT solutions from sensors, gateway connectivity, analytics pipelines, serverless backends to mobile applications.

Our IoT field connectivity offering called Fieldsight can get your business connected fast from industrial wearable to edge gateway.

Contact us for more information: info@wizense.com or call +358 40 8031910
","2016-03-01","Vantaa","Finland","manufacturing","NULL","NULL","solutions"
"Breakthrough in Electric Energy Storage","As global demand for energy continues to grow we need to tackle three main challenges; improving the integration of renewable energies, reducing energy losses and increasing large scale energy storage. Furthermore, we need to oversee the future where we need to be 100% powered by renewable assets, we need to have our grid security designed to withstand heavy drops and loads of renewable energy, also to have a response system to react to rapid load demand from consumers and industries. ","2014-10-01","Espoo","Finland","energy","NULL","NULL","breakthrough"
"Breakthrough in Electric Energy Storage","As global demand for energy continues to grow we need to tackle three main challenges; improving the integration of renewable energies, reducing energy losses and increasing large scale energy storage. Furthermore, we need to oversee the future where we need to be 100% powered by renewable assets, we need to have our grid security designed to withstand heavy drops and loads of renewable energy, also to have a response system to react to rapid load demand from consumers and industries. ","2014-10-01","Espoo","Finland","energy","NULL","NULL","in"
"Breakthrough in Electric Energy Storage","As global demand for energy continues to grow we need to tackle three main challenges; improving the integration of renewable energies, reducing energy losses and increasing large scale energy storage. Furthermore, we need to oversee the future where we need to be 100% powered by renewable assets, we need to have our grid security designed to withstand heavy drops and loads of renewable energy, also to have a response system to react to rapid load demand from consumers and industries. ","2014-10-01","Espoo","Finland","energy","NULL","NULL","electric"
"Breakthrough in Electric Energy Storage","As global demand for energy continues to grow we need to tackle three main challenges; improving the integration of renewable energies, reducing energy losses and increasing large scale energy storage. Furthermore, we need to oversee the future where we need to be 100% powered by renewable assets, we need to have our grid security designed to withstand heavy drops and loads of renewable energy, also to have a response system to react to rapid load demand from consumers and industries. ","2014-10-01","Espoo","Finland","energy","NULL","NULL","energy"
"Breakthrough in Electric Energy Storage","As global demand for energy continues to grow we need to tackle three main challenges; improving the integration of renewable energies, reducing energy losses and increasing large scale energy storage. Furthermore, we need to oversee the future where we need to be 100% powered by renewable assets, we need to have our grid security designed to withstand heavy drops and loads of renewable energy, also to have a response system to react to rapid load demand from consumers and industries. ","2014-10-01","Espoo","Finland","energy","NULL","NULL","storage"
"Leading mobile robotics company in EU","Gim is the leading mobile robotics company in EU. With our laser based navigation and control system any indoor or outdoor ground vehicle can be automated. System has been proved in several applications from indoor logistics to autonomous cars and forest machinery.","2014-01-01","Espoo","Finland","automotive_and_transportation","NULL","NULL","leading"
"Leading mobile robotics company in EU","Gim is the leading mobile robotics company in EU. With our laser based navigation and control system any indoor or outdoor ground vehicle can be automated. System has been proved in several applications from indoor logistics to autonomous cars and forest machinery.","2014-01-01","Espoo","Finland","automotive_and_transportation","NULL","NULL","mobile"
"Leading mobile robotics company in EU","Gim is the leading mobile robotics company in EU. With our laser based navigation and control system any indoor or outdoor ground vehicle can be automated. System has been proved in several applications from indoor logistics to autonomous cars and forest machinery.","2014-01-01","Espoo","Finland","automotive_and_transportation","NULL","NULL","robotics"
"Leading mobile robotics company in EU","Gim is the leading mobile robotics company in EU. With our laser based navigation and control system any indoor or outdoor ground vehicle can be automated. System has been proved in several applications from indoor logistics to autonomous cars and forest machinery.","2014-01-01","Espoo","Finland","automotive_and_transportation","NULL","NULL","company"
"Leading mobile robotics company in EU","Gim is the leading mobile robotics company in EU. With our laser based navigation and control system any indoor or outdoor ground vehicle can be automated. System has been proved in several applications from indoor logistics to autonomous cars and forest machinery.","2014-01-01","Espoo","Finland","automotive_and_transportation","NULL","NULL","in"
"Leading mobile robotics company in EU","Gim is the leading mobile robotics company in EU. With our laser based navigation and control system any indoor or outdoor ground vehicle can be automated. System has been proved in several applications from indoor logistics to autonomous cars and forest machinery.","2014-01-01","Espoo","Finland","automotive_and_transportation","NULL","NULL","eu"
"Taival maintenance free location tracking solution","Taival, GSM based location tracking solution.  Our biggest advantage is totally maintenance free device. No need to replace or re-charge batteries for ever. Our customers can reduce the amount of their assets by 20% or sell their service 20% efficiently. We are tracking our customers containers, skips, truck trailers, buoys, train vehicles and small machinery. We will offer mobile application and web user interface to manage assets. Or we can connect data into customers IT-system via REST-API","2008-02-01","Espoo","Finland","logistics","waste_and_recycling","automotive_and_transportation","taival"
"Taival maintenance free location tracking solution","Taival, GSM based location tracking solution.  Our biggest advantage is totally maintenance free device. No need to replace or re-charge batteries for ever. Our customers can reduce the amount of their assets by 20% or sell their service 20% efficiently. We are tracking our customers containers, skips, truck trailers, buoys, train vehicles and small machinery. We will offer mobile application and web user interface to manage assets. Or we can connect data into customers IT-system via REST-API","2008-02-01","Espoo","Finland","logistics","waste_and_recycling","automotive_and_transportation","maintenance"
"Taival maintenance free location tracking solution","Taival, GSM based location tracking solution.  Our biggest advantage is totally maintenance free device. No need to replace or re-charge batteries for ever. Our customers can reduce the amount of their assets by 20% or sell their service 20% efficiently. We are tracking our customers containers, skips, truck trailers, buoys, train vehicles and small machinery. We will offer mobile application and web user interface to manage assets. Or we can connect data into customers IT-system via REST-API","2008-02-01","Espoo","Finland","logistics","waste_and_recycling","automotive_and_transportation","free"
"Taival maintenance free location tracking solution","Taival, GSM based location tracking solution.  Our biggest advantage is totally maintenance free device. No need to replace or re-charge batteries for ever. Our customers can reduce the amount of their assets by 20% or sell their service 20% efficiently. We are tracking our customers containers, skips, truck trailers, buoys, train vehicles and small machinery. We will offer mobile application and web user interface to manage assets. Or we can connect data into customers IT-system via REST-API","2008-02-01","Espoo","Finland","logistics","waste_and_recycling","automotive_and_transportation","location"
"Taival maintenance free location tracking solution","Taival, GSM based location tracking solution.  Our biggest advantage is totally maintenance free device. No need to replace or re-charge batteries for ever. Our customers can reduce the amount of their assets by 20% or sell their service 20% efficiently. We are tracking our customers containers, skips, truck trailers, buoys, train vehicles and small machinery. We will offer mobile application and web user interface to manage assets. Or we can connect data into customers IT-system via REST-API","2008-02-01","Espoo","Finland","logistics","waste_and_recycling","automotive_and_transportation","tracking"
"Taival maintenance free location tracking solution","Taival, GSM based location tracking solution.  Our biggest advantage is totally maintenance free device. No need to replace or re-charge batteries for ever. Our customers can reduce the amount of their assets by 20% or sell their service 20% efficiently. We are tracking our customers containers, skips, truck trailers, buoys, train vehicles and small machinery. We will offer mobile application and web user interface to manage assets. Or we can connect data into customers IT-system via REST-API","2008-02-01","Espoo","Finland","logistics","waste_and_recycling","automotive_and_transportation","solution"
"Software-based solutions for ecological driving","Our solutions eGRIP and eDAS aggregate data from vehicles and third-party sources to cloud where it is analyzed as real-time slipperiness, vehicle, driving style and traffic flow optimization information. The refined data is then sold to various third-party sources as insurance companies and logistics companies. 
The solution is scalable (SaaS) service for transporters, public transportation, logistics and road maintenance operators. We are looking for funding for geographical expansion.
","2014-06-01","Espoo","Finland","logistics","automotive_and_transportation","impact","software"
"Software-based solutions for ecological driving","Our solutions eGRIP and eDAS aggregate data from vehicles and third-party sources to cloud where it is analyzed as real-time slipperiness, vehicle, driving style and traffic flow optimization information. The refined data is then sold to various third-party sources as insurance companies and logistics companies. 
The solution is scalable (SaaS) service for transporters, public transportation, logistics and road maintenance operators. We are looking for funding for geographical expansion.
","2014-06-01","Espoo","Finland","logistics","automotive_and_transportation","impact","based"
"Software-based solutions for ecological driving","Our solutions eGRIP and eDAS aggregate data from vehicles and third-party sources to cloud where it is analyzed as real-time slipperiness, vehicle, driving style and traffic flow optimization information. The refined data is then sold to various third-party sources as insurance companies and logistics companies. 
The solution is scalable (SaaS) service for transporters, public transportation, logistics and road maintenance operators. We are looking for funding for geographical expansion.
","2014-06-01","Espoo","Finland","logistics","automotive_and_transportation","impact","solutions"
"Software-based solutions for ecological driving","Our solutions eGRIP and eDAS aggregate data from vehicles and third-party sources to cloud where it is analyzed as real-time slipperiness, vehicle, driving style and traffic flow optimization information. The refined data is then sold to various third-party sources as insurance companies and logistics companies. 
The solution is scalable (SaaS) service for transporters, public transportation, logistics and road maintenance operators. We are looking for funding for geographical expansion.
","2014-06-01","Espoo","Finland","logistics","automotive_and_transportation","impact","for"
"Software-based solutions for ecological driving","Our solutions eGRIP and eDAS aggregate data from vehicles and third-party sources to cloud where it is analyzed as real-time slipperiness, vehicle, driving style and traffic flow optimization information. The refined data is then sold to various third-party sources as insurance companies and logistics companies. 
The solution is scalable (SaaS) service for transporters, public transportation, logistics and road maintenance operators. We are looking for funding for geographical expansion.
","2014-06-01","Espoo","Finland","logistics","automotive_and_transportation","impact","ecological"
"Software-based solutions for ecological driving","Our solutions eGRIP and eDAS aggregate data from vehicles and third-party sources to cloud where it is analyzed as real-time slipperiness, vehicle, driving style and traffic flow optimization information. The refined data is then sold to various third-party sources as insurance companies and logistics companies. 
The solution is scalable (SaaS) service for transporters, public transportation, logistics and road maintenance operators. We are looking for funding for geographical expansion.
","2014-06-01","Espoo","Finland","logistics","automotive_and_transportation","impact","driving"
"Luotsi connects companies looking for partners","Luotsi is your ultimate source for B2B connections. List your own company on Luotsi to find partners, funding, service providers or what ever your need is. Browse other companies and get in touch with the ones you want to co-operate with. Luotsi is completely free to use.","2018-08-01","ESPOO","Finland","marketing_and_communication","NULL","NULL","luotsi"
"Luotsi connects companies looking for partners","Luotsi is your ultimate source for B2B connections. List your own company on Luotsi to find partners, funding, service providers or what ever your need is. Browse other companies and get in touch with the ones you want to co-operate with. Luotsi is completely free to use.","2018-08-01","ESPOO","Finland","marketing_and_communication","NULL","NULL","connects"
"Luotsi connects companies looking for partners","Luotsi is your ultimate source for B2B connections. List your own company on Luotsi to find partners, funding, service providers or what ever your need is. Browse other companies and get in touch with the ones you want to co-operate with. Luotsi is completely free to use.","2018-08-01","ESPOO","Finland","marketing_and_communication","NULL","NULL","companies"
"Luotsi connects companies looking for partners","Luotsi is your ultimate source for B2B connections. List your own company on Luotsi to find partners, funding, service providers or what ever your need is. Browse other companies and get in touch with the ones you want to co-operate with. Luotsi is completely free to use.","2018-08-01","ESPOO","Finland","marketing_and_communication","NULL","NULL","looking"
"Luotsi connects companies looking for partners","Luotsi is your ultimate source for B2B connections. List your own company on Luotsi to find partners, funding, service providers or what ever your need is. Browse other companies and get in touch with the ones you want to co-operate with. Luotsi is completely free to use.","2018-08-01","ESPOO","Finland","marketing_and_communication","NULL","NULL","for"
"Luotsi connects companies looking for partners","Luotsi is your ultimate source for B2B connections. List your own company on Luotsi to find partners, funding, service providers or what ever your need is. Browse other companies and get in touch with the ones you want to co-operate with. Luotsi is completely free to use.","2018-08-01","ESPOO","Finland","marketing_and_communication","NULL","NULL","partners"
"Electric vehicle charging solutions","We bring electric vehicles into peoples everyday life and as a part of energy system","2013-12-01","Helsinki","Finland","energy","NULL","NULL","electric"
"Electric vehicle charging solutions","We bring electric vehicles into peoples everyday life and as a part of energy system","2013-12-01","Helsinki","Finland","energy","NULL","NULL","vehicle"
"Electric vehicle charging solutions","We bring electric vehicles into peoples everyday life and as a part of energy system","2013-12-01","Helsinki","Finland","energy","NULL","NULL","charging"
"Electric vehicle charging solutions","We bring electric vehicles into peoples everyday life and as a part of energy system","2013-12-01","Helsinki","Finland","energy","NULL","NULL","solutions"
"Enterprise Software Solutions","As the central source of information of your IT inventory, Replex provides full transparency throughout your infrastructure, independent of the underlying technology. Replex consolidates critical information in real-time concerning actual server capacities and, therefore, can identify inefficiencies in your IT landscape instantaneously.","2016-01-01","Duisburg","Germany","Diagnostics","NULL","NULL","enterprise"
"Enterprise Software Solutions","As the central source of information of your IT inventory, Replex provides full transparency throughout your infrastructure, independent of the underlying technology. Replex consolidates critical information in real-time concerning actual server capacities and, therefore, can identify inefficiencies in your IT landscape instantaneously.","2016-01-01","Duisburg","Germany","Diagnostics","NULL","NULL","software"
"Enterprise Software Solutions","As the central source of information of your IT inventory, Replex provides full transparency throughout your infrastructure, independent of the underlying technology. Replex consolidates critical information in real-time concerning actual server capacities and, therefore, can identify inefficiencies in your IT landscape instantaneously.","2016-01-01","Duisburg","Germany","Diagnostics","NULL","NULL","solutions"
"Fintech","SMEs get paid faster and lenders can approve more creditworthy Customers with real-time, behavioral credit model based on real-time payment behavior added by alternative data sources.","2016-06-01","Helsinki","Finland","financial_and_insurance","NULL","NULL","fintech"
"Crypto currecy webmining platform","Monero webmining platform to allow content creators receive donation through crypto currency mining meanwhile users are consuming contents on web sites","2017-03-01","Espoo","Finland","entertainment_and_media","cryptocurrencies","marketing_and_communication","crypto"
"Crypto currecy webmining platform","Monero webmining platform to allow content creators receive donation through crypto currency mining meanwhile users are consuming contents on web sites","2017-03-01","Espoo","Finland","entertainment_and_media","cryptocurrencies","marketing_and_communication","currecy"
"Crypto currecy webmining platform","Monero webmining platform to allow content creators receive donation through crypto currency mining meanwhile users are consuming contents on web sites","2017-03-01","Espoo","Finland","entertainment_and_media","cryptocurrencies","marketing_and_communication","webmining"
"Crypto currecy webmining platform","Monero webmining platform to allow content creators receive donation through crypto currency mining meanwhile users are consuming contents on web sites","2017-03-01","Espoo","Finland","entertainment_and_media","cryptocurrencies","marketing_and_communication","platform"
"Contract Mngmt, Board Portal, eSignatures & VDR","No more missing documents, forgotten dates or painful preparations for internal or external audits. ContractZen is the ultimate solution for Everyday Due Diligence. One easy-to-use cloud service with contract and meeting management, virtual data rooms (VDR), e-signatures and more! Now with OCR, Office 365 Single Sign-On and Outlook calendar integration.","2014-09-01","Helsinki","Finland","aerospace_and_defence","education","Diagnostics","contract"
"Contract Mngmt, Board Portal, eSignatures & VDR","No more missing documents, forgotten dates or painful preparations for internal or external audits. ContractZen is the ultimate solution for Everyday Due Diligence. One easy-to-use cloud service with contract and meeting management, virtual data rooms (VDR), e-signatures and more! Now with OCR, Office 365 Single Sign-On and Outlook calendar integration.","2014-09-01","Helsinki","Finland","aerospace_and_defence","education","Diagnostics","mngmt"
"Contract Mngmt, Board Portal, eSignatures & VDR","No more missing documents, forgotten dates or painful preparations for internal or external audits. ContractZen is the ultimate solution for Everyday Due Diligence. One easy-to-use cloud service with contract and meeting management, virtual data rooms (VDR), e-signatures and more! Now with OCR, Office 365 Single Sign-On and Outlook calendar integration.","2014-09-01","Helsinki","Finland","aerospace_and_defence","education","Diagnostics","board"
"Contract Mngmt, Board Portal, eSignatures & VDR","No more missing documents, forgotten dates or painful preparations for internal or external audits. ContractZen is the ultimate solution for Everyday Due Diligence. One easy-to-use cloud service with contract and meeting management, virtual data rooms (VDR), e-signatures and more! Now with OCR, Office 365 Single Sign-On and Outlook calendar integration.","2014-09-01","Helsinki","Finland","aerospace_and_defence","education","Diagnostics","portal"
"Contract Mngmt, Board Portal, eSignatures & VDR","No more missing documents, forgotten dates or painful preparations for internal or external audits. ContractZen is the ultimate solution for Everyday Due Diligence. One easy-to-use cloud service with contract and meeting management, virtual data rooms (VDR), e-signatures and more! Now with OCR, Office 365 Single Sign-On and Outlook calendar integration.","2014-09-01","Helsinki","Finland","aerospace_and_defence","education","Diagnostics","esignatures"
"Contract Mngmt, Board Portal, eSignatures & VDR","No more missing documents, forgotten dates or painful preparations for internal or external audits. ContractZen is the ultimate solution for Everyday Due Diligence. One easy-to-use cloud service with contract and meeting management, virtual data rooms (VDR), e-signatures and more! Now with OCR, Office 365 Single Sign-On and Outlook calendar integration.","2014-09-01","Helsinki","Finland","aerospace_and_defence","education","Diagnostics","vdr"
"World's smartest travel diary & sharing platform","Wowanders automatically turns your trips into diaries and makes it easy to share recommendations on hotels, restaurants & sights with friends. By automating content creation we fundamentally change how people can share experiences.
Our revenues come from booking commissions and we're aiming at 45M€ revenues  in 2021.
In few months after soft-launching we already had 5 000 downloads and users had added 2500 trips.
We have gathered so far 200K€ financing, and next step is 500-800K€ seed round.","2017-08-01","Helsinki","Finland","travel","hospitality_and_travel","entertainment_and_media","world's"
"World's smartest travel diary & sharing platform","Wowanders automatically turns your trips into diaries and makes it easy to share recommendations on hotels, restaurants & sights with friends. By automating content creation we fundamentally change how people can share experiences.
Our revenues come from booking commissions and we're aiming at 45M€ revenues  in 2021.
In few months after soft-launching we already had 5 000 downloads and users had added 2500 trips.
We have gathered so far 200K€ financing, and next step is 500-800K€ seed round.","2017-08-01","Helsinki","Finland","travel","hospitality_and_travel","entertainment_and_media","smartest"
"World's smartest travel diary & sharing platform","Wowanders automatically turns your trips into diaries and makes it easy to share recommendations on hotels, restaurants & sights with friends. By automating content creation we fundamentally change how people can share experiences.
Our revenues come from booking commissions and we're aiming at 45M€ revenues  in 2021.
In few months after soft-launching we already had 5 000 downloads and users had added 2500 trips.
We have gathered so far 200K€ financing, and next step is 500-800K€ seed round.","2017-08-01","Helsinki","Finland","travel","hospitality_and_travel","entertainment_and_media","travel"
"World's smartest travel diary & sharing platform","Wowanders automatically turns your trips into diaries and makes it easy to share recommendations on hotels, restaurants & sights with friends. By automating content creation we fundamentally change how people can share experiences.
Our revenues come from booking commissions and we're aiming at 45M€ revenues  in 2021.
In few months after soft-launching we already had 5 000 downloads and users had added 2500 trips.
We have gathered so far 200K€ financing, and next step is 500-800K€ seed round.","2017-08-01","Helsinki","Finland","travel","hospitality_and_travel","entertainment_and_media","diary"
"World's smartest travel diary & sharing platform","Wowanders automatically turns your trips into diaries and makes it easy to share recommendations on hotels, restaurants & sights with friends. By automating content creation we fundamentally change how people can share experiences.
Our revenues come from booking commissions and we're aiming at 45M€ revenues  in 2021.
In few months after soft-launching we already had 5 000 downloads and users had added 2500 trips.
We have gathered so far 200K€ financing, and next step is 500-800K€ seed round.","2017-08-01","Helsinki","Finland","travel","hospitality_and_travel","entertainment_and_media","sharing"
"World's smartest travel diary & sharing platform","Wowanders automatically turns your trips into diaries and makes it easy to share recommendations on hotels, restaurants & sights with friends. By automating content creation we fundamentally change how people can share experiences.
Our revenues come from booking commissions and we're aiming at 45M€ revenues  in 2021.
In few months after soft-launching we already had 5 000 downloads and users had added 2500 trips.
We have gathered so far 200K€ financing, and next step is 500-800K€ seed round.","2017-08-01","Helsinki","Finland","travel","hospitality_and_travel","entertainment_and_media","platform"
"IoT, Smart Home, Smart Living","Cozify makes smart devices play together. Cozify connects smart devices from different manufacturers into one seamlessly working entity. It provides a single application to control and automate homes and buildings – taking care of security, energy saving and comfort.

Cozify is already a popular end-user product and we have traction in partner sales. Our main goal is to offer a platform for other enterprises to make their own smart living offering.","2013-06-01","Espoo","Finland","construction_and_real_estate","NULL","NULL","iot"
"IoT, Smart Home, Smart Living","Cozify makes smart devices play together. Cozify connects smart devices from different manufacturers into one seamlessly working entity. It provides a single application to control and automate homes and buildings – taking care of security, energy saving and comfort.

Cozify is already a popular end-user product and we have traction in partner sales. Our main goal is to offer a platform for other enterprises to make their own smart living offering.","2013-06-01","Espoo","Finland","construction_and_real_estate","NULL","NULL","smart"
"IoT, Smart Home, Smart Living","Cozify makes smart devices play together. Cozify connects smart devices from different manufacturers into one seamlessly working entity. It provides a single application to control and automate homes and buildings – taking care of security, energy saving and comfort.

Cozify is already a popular end-user product and we have traction in partner sales. Our main goal is to offer a platform for other enterprises to make their own smart living offering.","2013-06-01","Espoo","Finland","construction_and_real_estate","NULL","NULL","home"
"IoT, Smart Home, Smart Living","Cozify makes smart devices play together. Cozify connects smart devices from different manufacturers into one seamlessly working entity. It provides a single application to control and automate homes and buildings – taking care of security, energy saving and comfort.

Cozify is already a popular end-user product and we have traction in partner sales. Our main goal is to offer a platform for other enterprises to make their own smart living offering.","2013-06-01","Espoo","Finland","construction_and_real_estate","NULL","NULL","smart"
"IoT, Smart Home, Smart Living","Cozify makes smart devices play together. Cozify connects smart devices from different manufacturers into one seamlessly working entity. It provides a single application to control and automate homes and buildings – taking care of security, energy saving and comfort.

Cozify is already a popular end-user product and we have traction in partner sales. Our main goal is to offer a platform for other enterprises to make their own smart living offering.","2013-06-01","Espoo","Finland","construction_and_real_estate","NULL","NULL","living"
"plug-n-play manufacturing tool and automation","Composite manufacturers face a huge problem of labor driven manufacturing and a high cost of automation. Addcomposites product/technology solves this problem by process and value chain innovation. We provide plug-n-play manufacturing tool and automation

Business Model 
Industry/Market: Composite manufacturer for Automotive, Sports, Aerospace, Wind 
Revenues: Product sales/lease followed by an annual maintenance contract
Go to Market: Direct sales to users of the technology","2017-12-01","Espoo","Finland","materials_and_coatings","NULL","NULL","plug"
"plug-n-play manufacturing tool and automation","Composite manufacturers face a huge problem of labor driven manufacturing and a high cost of automation. Addcomposites product/technology solves this problem by process and value chain innovation. We provide plug-n-play manufacturing tool and automation

Business Model 
Industry/Market: Composite manufacturer for Automotive, Sports, Aerospace, Wind 
Revenues: Product sales/lease followed by an annual maintenance contract
Go to Market: Direct sales to users of the technology","2017-12-01","Espoo","Finland","materials_and_coatings","NULL","NULL","n"
"plug-n-play manufacturing tool and automation","Composite manufacturers face a huge problem of labor driven manufacturing and a high cost of automation. Addcomposites product/technology solves this problem by process and value chain innovation. We provide plug-n-play manufacturing tool and automation

Business Model 
Industry/Market: Composite manufacturer for Automotive, Sports, Aerospace, Wind 
Revenues: Product sales/lease followed by an annual maintenance contract
Go to Market: Direct sales to users of the technology","2017-12-01","Espoo","Finland","materials_and_coatings","NULL","NULL","play"
"plug-n-play manufacturing tool and automation","Composite manufacturers face a huge problem of labor driven manufacturing and a high cost of automation. Addcomposites product/technology solves this problem by process and value chain innovation. We provide plug-n-play manufacturing tool and automation

Business Model 
Industry/Market: Composite manufacturer for Automotive, Sports, Aerospace, Wind 
Revenues: Product sales/lease followed by an annual maintenance contract
Go to Market: Direct sales to users of the technology","2017-12-01","Espoo","Finland","materials_and_coatings","NULL","NULL","manufacturing"
"plug-n-play manufacturing tool and automation","Composite manufacturers face a huge problem of labor driven manufacturing and a high cost of automation. Addcomposites product/technology solves this problem by process and value chain innovation. We provide plug-n-play manufacturing tool and automation

Business Model 
Industry/Market: Composite manufacturer for Automotive, Sports, Aerospace, Wind 
Revenues: Product sales/lease followed by an annual maintenance contract
Go to Market: Direct sales to users of the technology","2017-12-01","Espoo","Finland","materials_and_coatings","NULL","NULL","tool"
"plug-n-play manufacturing tool and automation","Composite manufacturers face a huge problem of labor driven manufacturing and a high cost of automation. Addcomposites product/technology solves this problem by process and value chain innovation. We provide plug-n-play manufacturing tool and automation

Business Model 
Industry/Market: Composite manufacturer for Automotive, Sports, Aerospace, Wind 
Revenues: Product sales/lease followed by an annual maintenance contract
Go to Market: Direct sales to users of the technology","2017-12-01","Espoo","Finland","materials_and_coatings","NULL","NULL","and"
